# step,E,T,V,lambda
0.000000000000000000e+00 -2.307315545295853371e+04 2.888476649384897428e+02 3.722915305182425527e+01 0.000000000000000000e+00
4.000000000000000000e+03 -2.341377682136673684e+04 3.005390430273940297e+02 3.722915305182425527e+01 0.000000000000000000e+00
8.000000000000000000e+03 -2.277901778053421731e+04 3.057636669965115175e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.200000000000000000e+04 -2.286043407844681496e+04 3.022431300995266952e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.600000000000000000e+04 -2.314650217079300637e+04 2.992636046817684132e+02 3.722915305182425527e+01 0.000000000000000000e+00
2.000000000000000000e+04 -2.308258510994095559e+04 2.930047845663512476e+02 3.722915305182425527e+01 0.000000000000000000e+00
2.400000000000000000e+04 -2.270796828102249856e+04 3.011768035502312841e+02 3.722915305182425527e+01 0.000000000000000000e+00
2.800000000000000000e+04 -2.314438727211136575e+04 2.975024973413538874e+02 3.722915305182425527e+01 0.000000000000000000e+00
3.200000000000000000e+04 -2.306083262275833840e+04 3.016740522120784931e+02 3.722915305182425527e+01 0.000000000000000000e+00
3.600000000000000000e+04 -2.297449121498245950e+04 3.063346795101070370e+02 3.722915305182425527e+01 0.000000000000000000e+00
4.000000000000000000e+04 -2.280365537666458840e+04 3.019437500155365797e+02 3.722915305182425527e+01 0.000000000000000000e+00
4.400000000000000000e+04 -2.283097634529251809e+04 3.015577612554739062e+02 3.722915305182425527e+01 0.000000000000000000e+00
4.800000000000000000e+04 -2.299177943061966653e+04 2.935769681592642542e+02 3.722915305182425527e+01 0.000000000000000000e+00
5.200000000000000000e+04 -2.304548408912796731e+04 2.965197872903348753e+02 3.722915305182425527e+01 0.000000000000000000e+00
5.600000000000000000e+04 -2.297843594001908059e+04 2.995803480833766343e+02 3.722915305182425527e+01 0.000000000000000000e+00
6.000000000000000000e+04 -2.304051818489212746e+04 2.976496073399313786e+02 3.722915305182425527e+01 0.000000000000000000e+00
6.400000000000000000e+04 -2.287477653907913918e+04 3.005589366892674548e+02 3.722915305182425527e+01 0.000000000000000000e+00
6.800000000000000000e+04 -2.324755928444046731e+04 3.032941477654877076e+02 3.722915305182425527e+01 0.000000000000000000e+00
7.200000000000000000e+04 -2.326443948768753762e+04 2.957076071464433085e+02 3.722915305182425527e+01 0.000000000000000000e+00
7.600000000000000000e+04 -2.308178691505570168e+04 2.993778571652791811e+02 3.722915305182425527e+01 0.000000000000000000e+00
8.000000000000000000e+04 -2.293809102272171731e+04 2.945881983443406398e+02 3.722915305182425527e+01 0.000000000000000000e+00
8.400000000000000000e+04 -2.300609633278031106e+04 3.005632234594895635e+02 3.722915305182425527e+01 0.000000000000000000e+00
8.800000000000000000e+04 -2.304997262214798684e+04 2.960550310120051449e+02 3.722915305182425527e+01 0.000000000000000000e+00
9.200000000000000000e+04 -2.307070000099320168e+04 3.036480282691047137e+02 3.722915305182425527e+01 0.000000000000000000e+00
9.600000000000000000e+04 -2.265968487190384621e+04 3.007836874651319476e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.000000000000000000e+05 -2.296077675270218606e+04 2.978235037661478941e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.040000000000000000e+05 -2.323822885536331887e+04 3.037535783008507906e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.080000000000000000e+05 -2.318211890815872903e+04 2.967200734888504599e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.120000000000000000e+05 -2.306509403633255715e+04 2.980004417767155473e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.160000000000000000e+05 -2.302739126228470559e+04 3.066971621930505876e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.200000000000000000e+05 -2.287297349952835793e+04 3.053890475696846920e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.240000000000000000e+05 -2.317940746330399270e+04 3.033617026559339820e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.280000000000000000e+05 -2.309972022651810403e+04 2.931438846076404161e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.320000000000000000e+05 -2.299908731865067239e+04 2.992749154980112962e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.360000000000000000e+05 -2.276422452949661965e+04 3.054563706936664857e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.400000000000000000e+05 -2.281742943977493996e+04 3.026185086194064979e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.440000000000000000e+05 -2.290115100502152200e+04 3.012201631323582660e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.480000000000000000e+05 -2.311840788673538918e+04 3.083094597798029213e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.520000000000000000e+05 -2.311110215400833840e+04 2.998721409560567395e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.560000000000000000e+05 -2.282616974281449075e+04 2.975527044513447095e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.600000000000000000e+05 -2.322547626136917825e+04 3.000806710620134368e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.640000000000000000e+05 -2.296688958000321145e+04 2.971031805870716767e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.680000000000000000e+05 -2.288142577766556496e+04 2.996596997969120366e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.720000000000000000e+05 -2.290977875160355325e+04 3.011620006396792064e+02 3.722915305182425527e+01 0.000000000000000000e+00
1.760000000000000000e+05 -2.285617583107132668e+04 2.990212728454632725e+02 3.722915305182425527e+01 0.000000000000000000e+00
